date,course,hole,par,distance,handicap,score,fairway,green,putts,chips,penalties,to_par
7/3/2025,The Carolina Club,1,4,,9,4,right,short,1,1,0,0
7/3/2025,The Carolina Club,2,3,,17,4,,right,2,1,0,1
7/3/2025,The Carolina Club,3,4,,7,5,hit,hit,3,1,0,1
7/3/2025,The Carolina Club,4,5,,5,5,right,hit,1,1,0,0
7/3/2025,The Carolina Club,5,3,,15,3,,hit,2,0,0,0
7/3/2025,The Carolina Club,6,5,,1,6,left,hit,3,0,0,1
7/3/2025,The Carolina Club,7,3,,13,2,,hit,1,0,0,-1
7/3/2025,The Carolina Club,8,4,,11,6,right,nochance,2,1,1,2
7/3/2025,The Carolina Club,9,5,,3,7,right,nochance,1,1,1,2
6/14/2025,National Golf Club,1,5,,9,6,right,short,2,1,0,1
6/14/2025,National Golf Club,2,4,,13,7,hit,long,3,2,0,3
6/14/2025,National Golf Club,3,3,,15,4,,short,2,1,0,1
6/14/2025,National Golf Club,4,4,,5,3,hit,hit,1,0,0,-1
6/14/2025,National Golf Club,5,5,,1,8,hit,nochance,3,1,1,3
6/14/2025,National Golf Club,6,3,,17,4,,left,1,2,0,1
6/14/2025,National Golf Club,7,4,,7,5,hit,hit,3,0,0,1
6/14/2025,National Golf Club,8,4,,11,6,right,nochance,2,1,0,2
6/14/2025,National Golf Club,9,4,,3,4,hit,hit,2,0,0,0
6/14/2025,National Golf Club,10,4,,10,4,hit,hit,2,0,0,0
6/14/2025,National Golf Club,11,4,,14,6,left,nochance,3,0,0,2
6/14/2025,National Golf Club,12,4,,8,4,right,right,1,1,0,0
6/14/2025,National Golf Club,13,5,,6,5,hit,short,1,1,0,0
6/14/2025,National Golf Club,14,4,,4,7,right,nochance,3,1,1,3
6/14/2025,National Golf Club,15,3,,16,5,,short,2,1,0,2
6/14/2025,National Golf Club,16,5,,2,7,right,nochance,2,1,0,2
6/14/2025,National Golf Club,17,4,,12,5,hit,nochance,2,1,0,1
6/14/2025,National Golf Club,18,3,,18,5,,short,3,1,0,2
5/18/2025,East Potomac Golf Links - Blue Course,1,4,343,7,7,hit,short,3,2,0,3
5/18/2025,East Potomac Golf Links - Blue Course,2,4,377,3,5,left,hit,3,0,0,1
5/18/2025,East Potomac Golf Links - Blue Course,3,5,564,1,7,right,short,3,0,0,2
5/18/2025,East Potomac Golf Links - Blue Course,4,3,154,13,5,,short,2,2,0,2
5/18/2025,East Potomac Golf Links - Blue Course,5,4,286,17,5,hit,short,2,1,0,1
5/18/2025,East Potomac Golf Links - Blue Course,6,5,507,5,7,right,nochance,3,0,0,2
5/18/2025,East Potomac Golf Links - Blue Course,7,4,297,15,5,right,left,2,1,0,1
5/18/2025,East Potomac Golf Links - Blue Course,8,3,196,9,3,,short,1,1,0,0
5/18/2025,East Potomac Golf Links - Blue Course,9,4,336,11,6,left,short,3,0,0,2
5/18/2025,East Potomac Golf Links - Blue Course,10,4,302,16,5,short,nochance,2,0,0,1
5/18/2025,East Potomac Golf Links - Blue Course,11,3,167,14,5,,right,3,1,0,2
5/18/2025,East Potomac Golf Links - Blue Course,12,5,456,10,6,hit,short,2,1,0,1
5/18/2025,East Potomac Golf Links - Blue Course,13,4,354,8,5,hit,long,2,1,0,1
5/18/2025,East Potomac Golf Links - Blue Course,14,4,389,4,7,short,nochance,3,2,0,3
5/18/2025,East Potomac Golf Links - Blue Course,15,3,162,18,3,,hit,2,0,0,0
5/18/2025,East Potomac Golf Links - Blue Course,16,4,419,2,6,hit,short,2,2,0,2
5/18/2025,East Potomac Golf Links - Blue Course,17,5,546,6,6,right,nochance,2,1,0,1
5/18/2025,East Potomac Golf Links - Blue Course,18,4,371,12,7,left,nochance,2,2,0,3
5/11/2025,East Potomac Golf Links - Blue Course,1,4,343,7,4,left,hit,2,0,0,0
5/11/2025,East Potomac Golf Links - Blue Course,2,4,377,3,4,hit,hit,2,0,0,0
5/11/2025,East Potomac Golf Links - Blue Course,3,5,564,1,5,hit,hit,2,1,0,0
5/11/2025,East Potomac Golf Links - Blue Course,4,3,154,13,4,,right,2,1,0,1
5/11/2025,East Potomac Golf Links - Blue Course,5,4,286,17,6,left,short,2,2,0,2
5/11/2025,East Potomac Golf Links - Blue Course,6,5,507,5,6,right,nochance,2,0,1,1
5/11/2025,East Potomac Golf Links - Blue Course,7,4,297,15,4,right,hit,2,0,0,0
5/11/2025,East Potomac Golf Links - Blue Course,8,3,196,9,4,,short,2,1,0,1
5/11/2025,East Potomac Golf Links - Blue Course,9,4,336,11,3,right,hit,1,0,0,-1
5/11/2025,East Potomac Golf Links - Blue Course,10,4,302,16,5,left,hit,3,0,0,1
5/11/2025,East Potomac Golf Links - Blue Course,11,3,167,14,4,,right,2,1,0,1
5/11/2025,East Potomac Golf Links - Blue Course,12,5,456,10,4,hit,hit,1,1,0,-1
5/11/2025,East Potomac Golf Links - Blue Course,13,4,354,8,4,right,hit,2,0,0,0
5/11/2025,East Potomac Golf Links - Blue Course,14,4,389,4,7,right,nochance,3,1,1,3
5/11/2025,East Potomac Golf Links - Blue Course,15,3,162,18,4,,left,2,1,0,1
5/11/2025,East Potomac Golf Links - Blue Course,16,4,419,2,5,short,nochance,1,1,0,1
5/11/2025,East Potomac Golf Links - Blue Course,17,5,546,6,7,right,short,2,2,0,2
5/11/2025,East Potomac Golf Links - Blue Course,18,4,371,12,6,left,nochance,2,0,0,2
4/23/2025,East Potomac Golf Links - Blue Course,1,4,343,7,6,left,left,2,2,0,2
4/23/2025,East Potomac Golf Links - Blue Course,2,4,377,3,4,left,hit,2,0,0,0
4/23/2025,East Potomac Golf Links - Blue Course,3,5,564,1,6,right,left,2,1,0,1
4/23/2025,East Potomac Golf Links - Blue Course,4,3,154,13,5,,right,2,2,0,2
4/23/2025,East Potomac Golf Links - Blue Course,5,4,286,17,5,left,short,2,1,0,1
4/23/2025,East Potomac Golf Links - Blue Course,6,5,507,5,6,short,nochance,2,0,0,1
4/23/2025,East Potomac Golf Links - Blue Course,7,4,297,15,5,hit,hit,3,1,0,1
4/23/2025,East Potomac Golf Links - Blue Course,8,3,196,9,4,,short,2,1,0,1
4/23/2025,East Potomac Golf Links - Blue Course,9,4,336,11,4,right,long,1,1,0,0
4/14/2025,East Potomac Golf Links - Blue Course,1,4,343,7,6,left,nochance,2,1,0,2
4/14/2025,East Potomac Golf Links - Blue Course,2,4,377,3,6,left,nochance,2,1,0,2
4/14/2025,East Potomac Golf Links - Blue Course,3,5,564,1,6,hit,left,2,1,0,1
4/14/2025,East Potomac Golf Links - Blue Course,4,3,154,13,4,,left,2,1,0,1
4/14/2025,East Potomac Golf Links - Blue Course,5,4,286,17,4,right,hit,2,0,0,0
4/14/2025,East Potomac Golf Links - Blue Course,6,5,507,5,8,left,nochance,2,2,1,3
4/14/2025,East Potomac Golf Links - Blue Course,7,4,297,15,5,hit,short,2,2,0,1
